,n_estimators,max_depth,max_samples,ccp_alpha,training_accuracy,validation_accuracy,testing_accuracy
0,50,12,0.5,0.0,0.2955022684869639,0.28815415682650514,0.28195069281986684
0,50,12,0.5,0.001,0.29566061507321806,0.2925693945305815,0.28835702717293504
0,50,12,0.75,0.0,0.30806672587452066,0.29927781770886813,0.2909123627856757
0,50,12,0.75,0.001,0.29214945163888717,0.29164527501112364,0.2849739067842361
0,50,12,1.0,0.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,12,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.5,0.0,0.3313161355171393,0.3204298867097922,0.3131185891668166
0,50,16,0.5,0.001,0.32352272961976164,0.32046411335866104,0.31596184991902104
0,50,16,0.75,0.0,0.3366035345711906,0.32347605845911626,0.3195969048047508
0,50,16,0.75,0.001,0.3013128997390724,0.2985590580826231,0.29386359546517904
0,50,16,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,1.0,0.001,0.047627899291571144,0.051066160112263406,0.05009897426669066
0,100,12,0.5,0.0,0.29347818603658493,0.28784611698668583,0.2816627676804031
0,100,12,0.5,0.001,0.2955848840971835,0.2972926720744772,0.2895807090156559
0,100,12,0.75,0.0,0.3083903036812139,0.2999281240373755,0.29087637214324275
0,100,12,0.75,0.001,0.28045245815863573,0.27932368141835234,0.2733129386359546
0,100,12,1.0,0.0,0.03510474970912421,0.03672519423623233,0.036350548857297105
0,100,12,1.0,0.001,0.03767271826011525,0.03593798131224972,0.036206586287565234
0,100,16,0.5,0.0,0.33544003139393186,0.32073792654961153,0.3128306640273529
0,100,16,0.5,0.001,0.31356754858830577,0.31368723688263683,0.30660428288644953
0,100,16,0.75,0.0,0.3580835932282738,0.34117123592429066,0.3338851898506388
0,100,16,0.75,0.001,0.3195365264266683,0.3171441284183866,0.31207486053626055
0,100,16,1.0,0.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,16,1.0,0.001,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,150,12,0.5,0.0,0.3069376458681868,0.3009549235034398,0.2929638294043549
0,150,12,0.5,0.001,0.2892579052812029,0.28938631618578226,0.2826705056685262
0,150,12,0.75,0.0,0.30506502536987695,0.29996235068624433,0.2936116609681483
0,150,12,0.75,0.001,0.28902382771891416,0.28774343704007943,0.28105092675904264
0,150,12,1.0,0.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,150,12,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.5,0.0,0.3382214236046568,0.3214909128247253,0.31189490732409575
0,150,16,0.5,0.001,0.30835588051028906,0.3047883081767464,0.3003419111031132
0,150,16,0.75,0.0,0.33804242311584776,0.3176575281514187,0.3097354687781177
0,150,16,0.75,0.001,0.3146140129844201,0.3115994113016395,0.3077559834443045
0,150,16,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.25,0.0,0.31086877198780044,0.30297429578669954,0.29440345510167354
0,100,12,0.25,0.001,0.28368823622556816,0.28367046582469113,0.277307899946014
0,100,16,0.25,0.0,0.33588753261595444,0.3268302700482596,0.3219722872053266
0,100,16,0.25,0.001,0.3212163771677992,0.3183762877776637,0.3123627856757243
0,150,12,0.25,0.0,0.30919580588085455,0.3013998699387343,0.29379161418031313
0,150,12,0.25,0.001,0.30162959291158065,0.3020501762672417,0.2945834083138384
0,150,16,0.25,0.0,0.343694707781702,0.333572919875415,0.32863055605542557
0,150,16,0.25,0.001,0.33344348748029273,0.33052674812609095,0.32657908943674646
0,50,6,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,1.0,10.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,6,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,1.0,1.0,0.047627899291571144,0.051066160112263406,0.05009897426669066
0,50,8,1.0,10.0,0.032488588718838425,0.034637368655234965,0.034371063523483895
0,100,6,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,1.0,1.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,6,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,1.0,1.0,0.047627899291571144,0.051066160112263406,0.05009897426669066
0,100,8,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,1.0,1.0,0.03329409091847905,0.03371324913577712,0.03260752204426849
0,150,8,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,1.0,1.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,150,8,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,1.0,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,1.0,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,1.0,0.1,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,8,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,1.0,0.1,0.03510474970912421,0.03672519423623233,0.036350548857297105
0,150,6,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,1.0,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,1.0,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
