,n_estimators,max_depth,max_samples,ccp_alpha,training_accuracy,validation_accuracy,testing_accuracy
0,150,8,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,1.0,10.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,16,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,1.0,10.0,0.03329409091847905,0.03371324913577712,0.03260752204426849
0,150,16,1.0,10.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,12,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,1.0,10.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,16,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,1.0,10.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,150,12,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,1.0,0.1,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,8,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,1.0,0.1,0.01933205279137493,0.017318684327617483,0.015547957531041929
0,50,12,0.5,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.75,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,12,1.0,0.1,0.08130752972440809,0.08522435568333504,0.0770199748065503
