,n_estimators,max_depth,max_samples,ccp_alpha,training_accuracy,validation_accuracy,testing_accuracy
0,50,8,0.5,0.01,0.25718928631120197,0.2699430424267375,0.2699366116079174
0,50,8,0.5,0.1,0.25222400607421025,0.2661871205981857,0.26520257336610753
0,50,8,0.5,1.0,0.2253926733413748,0.24080046867566052,0.23728690589556012
0,50,8,0.75,0.01,0.25500166280410674,0.26804257419504407,0.2678167154676814
0,50,8,0.75,0.1,0.25276256766406346,0.2665823208078447,0.2663445487585744
0,50,8,0.75,1.0,0.22364498580808523,0.23885320563272383,0.23528094662021715
0,50,8,1.0,0.01,-6.218564828408546e-05,-0.0013542735903033787,-0.0015639591241731754
0,50,8,1.0,0.1,-0.0017754199557977746,-0.0081210459308938,-0.008823108646649924
0,50,8,1.0,1.0,-0.0012514661608340472,-0.006874387883393895,-0.007496468658882094
0,50,12,0.5,0.01,0.36968912178114566,0.3724442075523643,0.37641421651329743
0,50,12,0.5,0.1,0.3610185062771849,0.36941177844498063,0.3734382410733984
0,50,12,0.5,1.0,0.2902862023684488,0.3047770498766771,0.3016153695456725
0,50,12,0.75,0.01,0.3716390284593345,0.37576461378881587,0.3786420355947584
0,50,12,0.75,0.1,0.3613728547282,0.37041801892147275,0.3740151325993416
0,50,12,0.75,1.0,0.28854804319442284,0.30370965668349037,0.3003263556474973
0,50,12,1.0,0.01,-0.00022792161088047713,-0.0037573437774429674,-0.004164687138231926
0,50,12,1.0,0.1,-0.014914301802623653,-0.0072186518260322075,-0.007166549014391732
0,50,12,1.0,1.0,-0.060763215670994075,-0.04732066345058872,-0.04834798363600745
0,50,16,0.5,0.01,0.4443491001687362,0.4393621321140433,0.4419395538297891
0,50,16,0.5,0.1,0.42286996978544034,0.4269588189014728,0.43006112795052254
0,50,16,0.5,1.0,0.32367697299849285,0.3375919840997945,0.3318912243788358
0,50,16,0.75,0.01,0.4446776980427093,0.44140414914729764,0.4442347671278165
0,50,16,0.75,0.1,0.4256258143116739,0.43098486822815885,0.4328568739905061
0,50,16,0.75,1.0,0.326982991957659,0.3410579492914704,0.3352662451667199
0,50,16,1.0,0.01,-0.003980435634526325,-0.012645472608517894,-0.01362217924257525
0,50,16,1.0,0.1,-0.005069766329831582,-0.014664723496216503,-0.01575858351972559
0,50,16,1.0,1.0,-0.001038165864788665,-0.00011799941007994974,-0.0001713378388599196
0,100,8,0.5,0.01,0.2556878847270171,0.2683670804341609,0.268212906882376
0,100,8,0.5,0.1,0.2532594885551648,0.2669849182498727,0.26630159778903073
0,100,8,0.5,1.0,0.22622452424804396,0.24160666155929855,0.23805840819242796
0,100,8,0.75,0.01,0.25464957271642985,0.26764148579975267,0.2674506193900811
0,100,8,0.75,0.1,0.2510561984100015,0.2648399752824787,0.2643380407103947
0,100,8,0.75,1.0,0.22419550307840508,0.2394285752655385,0.23578358207248407
0,100,8,1.0,0.01,-6.140760642647791e-06,-0.001811727329962265,-0.002063551130754293
0,100,8,1.0,0.1,-2.0264073996578702e-07,-0.0020004030583389287,-0.0022687219403954018
0,100,8,1.0,1.0,-0.008102829179440496,-0.0025744756921828316,-0.0024747157669888775
0,100,12,0.5,0.01,0.3721907185398019,0.3758122992428209,0.3791854194791263
0,100,12,0.5,0.1,0.36224441488445924,0.3704914687308992,0.37440527271663115
0,100,12,0.5,1.0,0.2932593939113576,0.3082562882821681,0.3049876027329639
0,100,12,0.75,0.01,0.3719710466992676,0.3760878417297354,0.37903883624015877
0,100,12,0.75,0.1,0.36259222141000647,0.37185550873999207,0.3751831618287459
0,100,12,0.75,1.0,0.2922512710733276,0.30721876127506853,0.30377192520652985
0,100,12,1.0,0.01,-0.01532991669871131,-0.00752797069434008,-0.007481002027470263
0,100,12,1.0,0.1,-0.016873422651639824,-0.008695246335900464,-0.008668934815231122
0,100,12,1.0,1.0,-0.0056466888930784,-0.0012172055394752412,-0.0011274925566799876
0,100,16,0.5,0.01,0.443734280570392,0.4393049424061245,0.442023416525717
0,100,16,0.5,0.1,0.42743024299849297,0.43220769289086547,0.43409743676180834
0,100,16,0.5,1.0,0.32526482745839325,0.3393435855209084,0.3335882780615178
0,100,16,0.75,0.01,0.44549727264248806,0.44247321370858395,0.44471237573164657
0,100,16,0.75,0.1,0.4256098191124672,0.4309246659381766,0.4333256144185187
0,100,16,0.75,1.0,0.3249260302617746,0.3390350558795746,0.33323512934662447
0,100,16,1.0,0.01,-0.008934623147539567,-0.02130284939095861,-0.022767225897056376
0,100,16,1.0,0.1,-0.04970972068232693,-0.0800032114310203,-0.08440416729547229
0,100,16,1.0,1.0,-0.0003168734251788319,-0.004118962388402592,-0.004552752675955007
0,150,8,0.5,0.01,0.2566067455110701,0.26946776456874055,0.268978851085825
0,150,8,0.5,0.1,0.25305752635568424,0.2663779548254068,0.2660229627793823
0,150,8,0.5,1.0,0.22435531114493767,0.23975908687417125,0.23606409828558617
0,150,8,0.75,0.01,0.2544280861545306,0.26766799989958345,0.26705272186394713
0,150,8,0.75,0.1,0.2520759245087917,0.26567308902698916,0.26557185015269635
0,150,8,0.75,1.0,0.22366883517652258,0.23900925356937075,0.23551400389955524
0,150,8,1.0,0.01,-0.0009808980972034753,-0.00013979300053268418,-0.00019795107237707832
0,150,8,1.0,0.1,-0.005903670347244372,-0.0161549410854267,-0.01733371714969567
