,id,Train_count,Val_count,Test_count,Train_r2,Val_r2,Test_r2
0,1,2275,614,551,0.12298988496902918,0.18037099946508428,0.0492025275014375
0,2,0,0,0,0.0,0.0,0.0
0,3,0,0,0,0.0,0.0,0.0
0,4,11601,2239,1992,0.26335391056236,0.31495435133650795,0.3342565170259103
0,5,0,0,0,0.0,0.0,0.0
0,6,0,0,0,0.0,0.0,0.0
0,7,0,0,0,0.0,0.0,0.0
0,8,0,0,0,0.0,0.0,0.0
0,9,0,0,0,0.0,0.0,0.0
0,10,921,185,196,0.07725171597573233,0.11593994670198005,0.1210033979164471
0,11,0,0,0,0.0,0.0,0.0
0,12,592,147,158,0.13441506464828312,0.03972243571362455,0.12034446411956956
0,13,24424,4980,4990,0.16581238380626462,0.15405588485775412,0.15512003787376438
0,14,1006,236,178,0.0827678215422214,0.07119987425175944,0.08679333289997415
0,15,0,0,0,0.0,0.0,0.0
0,16,0,0,0,0.0,0.0,0.0
0,17,9229,1929,1638,0.162447209918122,0.17266500308899702,0.1551295103242728
0,18,0,0,0,0.0,0.0,0.0
0,19,0,0,0,0.0,0.0,0.0
0,20,0,0,0,0.0,0.0,0.0
0,21,0,0,0,0.0,0.0,0.0
0,22,0,0,0,0.0,0.0,0.0
0,23,0,0,0,0.0,0.0,0.0
0,24,8100,1637,1434,0.28382355086332467,0.2786429968011228,0.3063370424781441
0,25,7110,1546,1334,0.16257242789637227,0.12460779844844205,0.18773494773775867
0,26,0,0,0,0.0,0.0,0.0
0,27,0,0,0,0.0,0.0,0.0
0,28,979,184,202,0.22850207868067418,0.2083552461838888,0.13945037136088045
0,29,0,0,0,0.0,0.0,0.0
0,30,0,0,0,0.0,0.0,0.0
0,31,0,0,0,0.0,0.0,0.0
0,32,0,0,0,0.0,0.0,0.0
0,33,10010,2007,1900,0.09168538044559849,0.08005497423833641,0.09716127375428751
0,34,0,0,0,0.0,0.0,0.0
0,35,0,0,0,0.0,0.0,0.0
0,36,3287,703,590,0.23624667890097906,0.26235157313255153,0.2954468644835121
0,37,6244,1280,1051,0.2123160929160568,0.23362074297023672,0.2545844833117954
0,38,0,0,0,0.0,0.0,0.0
0,39,0,0,0,0.0,0.0,0.0
0,40,3689,862,762,0.1737166983062035,0.15946242301308222,-0.0032388702651471313
0,41,17887,3654,3345,0.48407201833964564,0.5021587023294619,0.5516661746302172
