,max_depth,ccp_alpha,training_accuracy,validation_accuracy,testing_accuracy
0,16,0.01,0.3614524108873959,0.3624000028923302,0.3604411732175664
0,16,0.001,0.3642864802451442,0.362511403806266,0.3608618948616533
0,20,0.01,0.4205118300035656,0.4162781032031122,0.4164445765040201
0,24,,0.4620358465447638,0.44576254162886764,0.4474540777497674
0,28,,0.49457414304910996,0.47357635623082517,0.4750943037614087
0,32,,0.5178328767575454,0.48972937303924735,0.4918536575111715
0,36,,0.535526018997436,0.5033578489028403,0.5058708916490565
0,60,,0.5898546355732732,0.5532085774160991,0.5510554444966814
0,70,,0.5949993808887648,0.5564526779291753,0.555057814970928
0,80,,0.5966254157961706,0.558556584874301,0.5559592251059953
