,C,solver,penalty,training_accuracy,validation_accuracy,testing_accuracy
0,10.0,liblinear,l1,0.6612071517579914,0.6345620700277236,0.6385819686881411
0,10.0,newton-cg,l2,0.6723327206008909,0.6428791457028442,0.6438725931257873
0,0.1,liblinear,l1,0.6536340541545325,0.6322688845535134,0.6345150260932158
0,0.1,newton-cg,l2,0.6574481414930018,0.6336379505082658,0.6369623897786576
0,1e-05,liblinear,l1,0.00036488561180301684,0.0005133997330321388,0.0007917941335252835
0,1e-05,newton-cg,l2,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,1.0,liblinear,l1,0.6602019951669869,0.63466474997433,0.6381500809789454
0,1.0,newton-cg,l2,0.6690969425339585,0.6414416264503543,0.6425769299982005
